Product Name,SKU,Color,Image URL,Source URL
LE PLIAGE ORIGINAL POUCH WITH HANDLE,34175089P96,pink tea,https://kw.longchamp.com/media/catalog/product/cache/66708de5384a71a849ce22074680de2a/3/4/34175089p96_0.png,https://kw.longchamp.com/kw_en/34175089p96-pink-tea.html
LE PLIAGE ORIGINAL POUCH WITH HANDLE,34175089P96,navy,https://kw.longchamp.com/media/catalog/product/cache/66708de5384a71a849ce22074680de2a/3/4/34175089p68_0.png,https://kw.longchamp.com/kw_en/34175089p96-pink-tea.html
LE PLIAGE ORIGINAL POUCH WITH HANDLE,34175089P96,paper,https://kw.longchamp.com/media/catalog/product/cache/66708de5384a71a849ce22074680de2a/3/4/34175089p71_0.png,https://kw.longchamp.com/kw_en/34175089p96-pink-tea.html
LE PLIAGE ORIGINAL POUCH WITH HANDLE,34175089P96,fawn,https://kw.longchamp.com/media/catalog/product/cache/dce1cfd5f28b14fa9cf76a7238890b91/3/4/34175089p68_0.png,https://kw.longchamp.com/kw_en/34175089p96-pink-tea.html
"LE PLIAGE GREEN POUCH WITH HANDLE
Forest - Recycled Canvas",34175919479,Forest,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwf043d931/images/DIS/34175919479_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-with-handle-34175919479.html
"LE PLIAGE GREEN POUCH WITH HANDLE
Forest - Recycled Canvas",34175919479,Graphite,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw9ecfe0c3/images/DIS/34175919P66_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-with-handle-34175919479.html
"LE PLIAGE GREEN POUCH WITH HANDLE
Forest - Recycled Canvas",34175919479,Chestnut,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw309aa345/images/DIS/34175919404_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-with-handle-34175919479.html
"LE PLIAGE GREEN POUCH WITH HANDLE
Forest - Recycled Canvas",34175919479,Mocha,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw8a7b3210/images/DIS/34175919002_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-with-handle-34175919479.html
"LE PLIAGE XTRA XS POUCH
Black - Leather",34205987001,Black,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwba2ac08b/images/DIS/34205987001_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-xs-34205987001.html
"LE PLIAGE XTRA XS POUCH
Black - Leather",34205987001,Ecru,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwece45efc/images/DIS/34205987037_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-xs-34205987001.html
"LE PLIAGE XTRA XS POUCH
Black - Leather",34205987001,Honey,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwd0d9fa7d/images/DIS/34205987117_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-xs-34205987001.html
"LE PLIAGE XTRA XS POUCH
Black - Leather",34205987001,Paper,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw5e7b2968/images/DIS/34205987555_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/pouch-xs-34205987001.html
"LE PLIAGE XTRA XS CROSSBODY BAG
Turtledove - Leather",10188987P55,Turtledove,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwd434310b/images/DIS/10188987P55_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/crossbody-bag-10188987P55.html
"LE PLIAGE XTRA XS CROSSBODY BAG
Turtledove - Leather",10188987P55,Ecru,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw687fe72c/images/DIS/10188987037_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/crossbody-bag-10188987P55.html
"LE PLIAGE XTRA XS HANDBAG
Turtledove - Leather",,Turtledove,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw8412d6e1/images/DIS/L1500987P55_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-xs-L1500987P55.html
"LE PLIAGE XTRA XS HANDBAG
Turtledove - Leather",,Ecru,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw563e2c99/images/DIS/L1500987037_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-xs-L1500987P55.html
"LE PLIAGE XTRA XS HANDBAG
Turtledove - Leather",,Honey,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwca71c0c6/images/DIS/L1500987117_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-xs-L1500987P55.html
"LE PLIAGE XTRA XS HANDBAG
Turtledove - Leather",,Paper,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw93ff2f72/images/DIS/L1500987555_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-xs-L1500987P55.html
"LE PLIAGE ORIGINAL S HANDBAG
Black - Recycled Canvas",L1621089001,Black,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw33228c7a/images/DIS/L1621089001_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-s-L1621089001.html
"LE PLIAGE ORIGINAL S HANDBAG
Black - Recycled Canvas",L1621089001,Paper,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwff4347bd/images/DIS/L1621089P71_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-s-L1621089001.html
"LE PLIAGE ORIGINAL S HANDBAG
Black - Recycled Canvas",L1621089001,Navy,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwd97d7f4f/images/DIS/L1621089P68_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-s-L1621089001.html
"LE PLIAGE ORIGINAL S HANDBAG
Black - Recycled Canvas",L1621089001,Celadon,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dw7479249b/images/DIS/L1621089P99_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-s-L1621089001.html
"LE PLIAGE GREEN S HANDBAG
Forest - Recycled Canvas",L1621919479,Forest,https://www.longchamp.co.th/dw/image/v2/BCVX_PRD/on/demandware.static/-/Sites-LC-master-catalog/default/dwda5103fa/images/DIS/L1621919479_0.png?sw=800&sh=800&sm=fit,https://www.longchamp.co.th/th/en/products/handbag-s-L1621919479.html
